"date"	"ocr_url"	"page"	"title"	sv	0.0
"1987-08-11 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856692:mpeg21:a0187"	13	"volkskrant"	nl	0.9477911646586346
"1987-08-17 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856697:mpeg21:a0174"	15	"volkskrant"	nl	0.8463949843260188
"1987-08-18 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856698:mpeg21:a0179"	13	"volkskrant"	nl	0.8809523809523809
"1987-08-08 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856690:mpeg21:a0459"	43	"volkskrant"	nl	0.9357798165137615
"1987-08-19 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856699:mpeg21:a0210"	15	"volkskrant"	nl	0.8975409836065574
"1987-08-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856701:mpeg21:a0218"	13	"volkskrant"	nl	0.8921568627450981
"1987-08-25 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856704:mpeg21:a0207"	15	"volkskrant"	nl	0.9154078549848943
"1987-08-27 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856706:mpeg21:a0268"	21	"volkskrant"	nl	0.8945686900958466
"1987-08-31 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856709:mpeg21:a0130"	11	"volkskrant"	nl	0.9042904290429042
"1987-08-01 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856710:mpeg21:a0407"	39	"volkskrant"	nl	0.9143835616438356
"1987-04-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856795:mpeg21:a0204"	15	"volkskrant"	nl	0.9130434782608695
"1987-08-29 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856708:mpeg21:a0682"	57	"volkskrant"	nl	0.9526462395543176
"1987-04-06 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856794:mpeg21:a0142"	9	"volkskrant"	nl	0.9113082039911308
"1987-04-08 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856796:mpeg21:a0246"	21	"volkskrant"	nl	0.8987854251012146
"1987-04-09 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856797:mpeg21:a0283"	27	"volkskrant"	nl	0.9434697855750487
"1987-04-13 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856800:mpeg21:a0138"	9	"volkskrant"	nl	0.9356136820925554
"1987-04-15 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856802:mpeg21:a0209"	17	"volkskrant"	nl	0.9325396825396826
"1987-04-01 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856803:mpeg21:a0256"	19	"volkskrant"	nl	0.9267782426778243
"1987-04-04 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856793:mpeg21:a0713"	57	"volkskrant"	nl	0.926605504587156
"1987-04-16 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856804:mpeg21:a0314"	27	"volkskrant"	nl	0.9195652173913044
"1987-04-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856807:mpeg21:a0136"	9	"volkskrant"	nl	0.9340659340659341
"1987-04-17 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856805:mpeg21:a0244"	15	"volkskrant"	nl	0.916988416988417
"1987-04-22 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856808:mpeg21:a0216"	19	"volkskrant"	nl	0.9168539325842696
"1987-04-11 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856799:mpeg21:a0729"	57	"volkskrant"	nl	0.9158878504672897
"1987-04-24 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856810:mpeg21:a0242"	15	"volkskrant"	nl	0.9204301075268817
"1987-04-27 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856812:mpeg21:a0140"	9	"volkskrant"	nl	0.9284294234592445
"1987-04-18 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856806:mpeg21:a0608"	56	"volkskrant"	nl	0.8899082568807339
"1987-04-30 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856815:mpeg21:a0245"	19	"volkskrant"	nl	0.9139784946236559
"1987-03-16 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856818:mpeg21:a0123"	9	"volkskrant"	nl	0.944672131147541
"1987-03-13 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856816:mpeg21:a0276"	15	"volkskrant"	nl	0.9354838709677419
"1987-04-25 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856811:mpeg21:a0827"	55	"volkskrant"	nl	0.9654178674351584
"1987-03-20 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856822:mpeg21:a0275"	15	"volkskrant"	nl	0.9308176100628931
"1987-03-25 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856826:mpeg21:a0256"	19	"volkskrant"	nl	0.9006772009029346
"1987-03-26 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856827:mpeg21:a0313"	27	"volkskrant"	nl	0.9465346534653465
"1987-03-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856823:mpeg21:a0695"	57	"volkskrant"	nl	0.9395604395604396
"1987-03-03 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856833:mpeg21:a0221"	17	"volkskrant"	nl	0.9078694817658349
"1987-03-05 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856834:mpeg21:a0190"	7	"volkskrant"	nl	0.9292237442922374
"1987-03-05 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856834:mpeg21:a0289"	25	"volkskrant"	nl	0.9161554192229039
"1987-03-06 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856836:mpeg21:a0203"	15	"volkskrant"	nl	0.9149797570850202
"1987-03-28 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856829:mpeg21:a0631"	57	"volkskrant"	nl	0.9075907590759076
"1987-03-10 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856839:mpeg21:a0152"	11	"volkskrant"	nl	0.8940886699507389
"1987-02-02 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856842:mpeg21:a0102"	9	"volkskrant"	nl	0.9260042283298098
"1987-02-04 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856844:mpeg21:a0267"	19	"volkskrant"	nl	0.9474708171206225
"1987-02-05 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856845:mpeg21:a0288"	29	"volkskrant"	nl	0.9222222222222223
"1987-03-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856837:mpeg21:a0633"	55	"volkskrant"	nl	0.927536231884058
"1987-02-10 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856849:mpeg21:a0214"	17	"volkskrant"	nl	0.9430255402750491
"1987-02-12 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856851:mpeg21:a0244"	21	"volkskrant"	nl	0.9166666666666666
"1987-02-16 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856854:mpeg21:a0113"	9	"volkskrant"	nl	0.9260869565217391
"1987-02-17 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856855:mpeg21:a0214"	19	"volkskrant"	nl	0.9171374764595104
"1987-02-18 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856856:mpeg21:a0233"	19	"volkskrant"	nl	0.9141104294478528
"1987-02-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856847:mpeg21:a0604"	55	"volkskrant"	nl	0.9289940828402367
"1987-02-23 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856860:mpeg21:a0125"	11	"volkskrant"	nl	0.898876404494382
"1987-02-14 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856853:mpeg21:a0681"	57	"volkskrant"	nl	0.9298245614035088
"1987-01-22 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856866:mpeg21:a0251"	21	"volkskrant"	nl	0.9384965831435079
"1987-01-23 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856867:mpeg21:a0254"	15	"volkskrant"	nl	0.9457700650759219
"1987-01-26 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856869:mpeg21:a0117"	9	"volkskrant"	nl	0.9507186858316222
"1987-01-27 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856870:mpeg21:a0212"	19	"volkskrant"	nl	0.9243697478991597
"1987-02-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856859:mpeg21:a0778"	55	"volkskrant"	nl	0.8379204892966361
"1987-01-06 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856877:mpeg21:a0194"	15	"volkskrant"	nl	0.9173076923076923
"1987-01-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856878:mpeg21:a0229"	15	"volkskrant"	nl	0.9214876033057852
"1987-01-08 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856879:mpeg21:a0246"	21	"volkskrant"	nl	0.8994413407821229
"1987-01-12 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856883:mpeg21:a0133"	12	"volkskrant"	nl	0.9222462203023758
"1987-01-14 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856885:mpeg21:a0238"	17	"volkskrant"	nl	0.9545454545454546
"1987-01-15 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856886:mpeg21:a0258"	21	"volkskrant"	nl	0.9327902240325866
"1987-01-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856891:mpeg21:a0250"	19	"volkskrant"	nl	0.9457202505219207
"1987-01-31 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856882:mpeg21:a0965"	57	"volkskrant"	nl	0.9085545722713865
"1987-06-01 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856741:mpeg21:a0111"	9	"volkskrant"	nl	0.911522633744856
"1987-06-02 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856742:mpeg21:a0203"	17	"volkskrant"	nl	0.9292452830188679
