Ingredient	DBpedia_link_via_stringmatch	Judgment_stringmatch	Scientific_name_via_stringmatch	dbpedia-en_via_stringmatch	DBpedia_via_spotlight	Judgment_spotlight	spotlight_conf	spotlight_support	Scientific_name_via_spotlight	dbpedia-en_via_spotlight	
koude boter of margarine		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
friszoete appels		0				0					
opgeklopte slagroom		0			http://nl.dbpedia.org/resource/Slagroom	1	0.9999999995	111		http://dbpedia.org/resource/Whipped_cream	
sjalotje		0				0					
versgezette sterke koffie		0			http://nl.dbpedia.org/resource/Koffie	1	0.9684367915	1295		http://dbpedia.org/resource/Coffee	
veldertjes		0				0					
vegetarische		0				0					
stoomgroenten		0				0					
kruidenolie peterselie-knoflook		0				0					
olijfolie extra vierge met truffelaroma		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999995975	218		http://dbpedia.org/resource/Olive_oil	
lijnzaadolie	http://nl.dbpedia.org/resource/Lijnzaadolie	1		http://dbpedia.org/resource/Linseed_oil	http://nl.dbpedia.org/resource/Lijnzaadolie	1	0.9999984794	124		http://dbpedia.org/resource/Linseed_oil	
el za'atar		0				0					
zoute kaasstengel		0				0					
cognac of vieux		0			http://nl.dbpedia.org/resource/Cognac_(drank)	1	0.9924514866	131		http://dbpedia.org/resource/Cognac	
cocktailaugurken		0				0					
jeneverbes	http://nl.dbpedia.org/resource/Jeneverbes	1		http://dbpedia.org/resource/Juniperus_communis	http://nl.dbpedia.org/resource/Jeneverbes	1	0.9999819321	181		http://dbpedia.org/resource/Juniperus_communis	
luxe traiteur cups		0				0					
gerookte eendenborstplakjes		0				0					
krulsla melange		0				0					
suikerwafels		0				0					
semigedroogde tomaten		0			http://nl.dbpedia.org/resource/Tomaat	1	0.9999986758	452	Solanum lycopersicum	http://dbpedia.org/resource/Tomato	
mango-limoen-meloen siroop		0				0					
sladressing honing/mosterd		0			http://nl.dbpedia.org/resource/Honing	1	0.9999999237	468		http://dbpedia.org/resource/Honey	
gedroogde dille topjes		0				0					
hete espresso		0			http://nl.dbpedia.org/resource/Espresso	1	0.9999999318	80		http://dbpedia.org/resource/Espresso	
cannellinibonen		0				0					
ongezouten amandelen		0			http://nl.dbpedia.org/resource/Keelamandel	0	0.919600494	48		http://dbpedia.org/resource/Tonsil	
gebakken kibbeling		0				0					
jong belegen geitenkaas		0			http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999995161	33		http://dbpedia.org/resource/Goat_cheese	
zeevruchten	http://nl.dbpedia.org/resource/Zeevruchten	1		http://dbpedia.org/resource/Seafood	http://nl.dbpedia.org/resource/Zeevruchten	1	0.9999987393	39		http://dbpedia.org/resource/Seafood	
rodewijnazijnvinaigrette		0				0					
pistolet		0				0					
tonijnmoot in water		0				0					
blauwaderkaasblokjes 50+		0				0					
meergranen pistolet		0				0					
bonenmix kidney		0				0					
grove mosterd om te besmeren		0			http://nl.dbpedia.org/resource/Mosterd	1	0.999961085	187		http://dbpedia.org/resource/Mustard_(condiment)	
chili	http://nl.dbpedia.org/resource/Chili	0		http://dbpedia.org/resource/Chile		0					
tartufosaus		0				0					
tapenade zontomaat		0				0					
bospeentje		0				0					
varkensrollade		0				0					
tartare saus		0				0					
eiwitten		0			http://nl.dbpedia.org/resource/Proteïne	1	0.9773720003	1821		http://dbpedia.org/resource/Protein	
vloeibare margarine		0			http://nl.dbpedia.org/resource/Margarine	1	0.9999999079	202		http://dbpedia.org/resource/Margarine	
rode kool met appel		0			http://nl.dbpedia.org/resource/Rodekool	1	0.9999999999	41	Brassica oleracea convar. capitata var. rubra	http://dbpedia.org/resource/Red_cabbage	
gedroogde peterselie		0			http://nl.dbpedia.org/resource/Peterselie	1	0.9999999669	128	Petroselinum crispum	http://dbpedia.org/resource/Parsley	
soja-sesam-gemberdressing		0				0					
groene asperges		0				0					
sugar snaps		0				0					
dukkah		0				0					
1 minuut witte rijst		0			http://nl.dbpedia.org/resource/Rijst	1	0.9999996091	2066	Oryza sativa	http://dbpedia.org/resource/Rice	
olijvonaise		0				0					
Goudse belegen kaas 48+		0			http://nl.dbpedia.org/resource/Kaas	1	0.999951707	1212		http://dbpedia.org/resource/Cheese	
halfvolle kwark		0			http://nl.dbpedia.org/resource/Kwark	1	0.9999991722	39		http://dbpedia.org/resource/Quark_(dairy_product)	
Italiaanse pesto-dressing		0			http://nl.dbpedia.org/resource/Italië	0	0.9993958779	42034		http://dbpedia.org/resource/Italy	
groene appel		0			http://nl.dbpedia.org/resource/Appel_(vrucht)	1	0.8972984549	536		http://dbpedia.org/resource/Apple	
gezouten chips		0				0					
cacao	http://nl.dbpedia.org/resource/Cacao	1		http://dbpedia.org/resource/Cacao	http://nl.dbpedia.org/resource/Cacaoboon	1	0.7603225024	278		http://dbpedia.org/resource/Cocoa_bean	
cassavekroepoek		0				0					
tomatensalsa		0				0					
oesterpakket 12 stuks		0				0					
gesneden champignons		0				0					
gemberbolletje		0				0					
hotdogbroodjes		0				0					
woknoedels		0				0					
aïoli		0				0					
komkommerrauwkost		0				0					
spaghettini		0				0					
decoratiebloemetjes		0				0					
falafel	http://nl.dbpedia.org/resource/Falafel	1		http://dbpedia.org/resource/Falafel	http://nl.dbpedia.org/resource/Falafel	1	0.9999996661	19		http://dbpedia.org/resource/Falafel	
klein stokbrood		0			http://nl.dbpedia.org/resource/Stokbrood	1	0.9999993545	41		http://dbpedia.org/resource/Baguette	
romige aspergesoep		0				0					
Mexicaanse taco kruiden		0			http://nl.dbpedia.org/resource/Mexico_(land)	0	0.9984879118	13008		http://dbpedia.org/resource/Mexico	
zongerijpte taggia olijven		0			http://nl.dbpedia.org/resource/Taggia	0	0.9999991811	11		http://dbpedia.org/resource/Taggia	
mandarijnen- of sinaasappellikeur		0			http://nl.dbpedia.org/resource/Mandarijn_(vrucht)	1	0.5940106226	80	Citrus reticulata	http://dbpedia.org/resource/Mandarin_orange	
sparkling rosé		0				0					
wilde en witte rijst		0			http://nl.dbpedia.org/resource/Rijst	1	0.9999997087	2066	Oryza sativa	http://dbpedia.org/resource/Rice	
cake	http://nl.dbpedia.org/resource/Cake	1		http://dbpedia.org/resource/Cake_(disambiguation)	http://nl.dbpedia.org/resource/Cake_(gebak)	1	0.9882774247	84		http://dbpedia.org/resource/Pound_cake	
Pain de Mediterrane		0				0					
vadouvan-vinaigrette		0				0					
speculaas of bastognekoek		0			http://nl.dbpedia.org/resource/Speculaas	1	0.9999991895	73		http://dbpedia.org/resource/Speculaas	
olie of boter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
zuivelspread bieslook		0			http://nl.dbpedia.org/resource/Bieslook	0	0.9999988723	54	Allium schoenoprasum	http://dbpedia.org/resource/Chives	
ovenroasted amandelen		0			http://nl.dbpedia.org/resource/Keelamandel	0	0.919600494	48		http://dbpedia.org/resource/Tonsil	
sugo isolana pastasaus		0				0					
slank- of slagroom		0			http://nl.dbpedia.org/resource/Slagroom	1	0.9999993307	111		http://dbpedia.org/resource/Whipped_cream	
meergranen vloerbrood		0				0					
witte port		0			http://nl.dbpedia.org/resource/Porteren	0	0.9805383913	146			
Munster	http://nl.dbpedia.org/resource/Munster	0		http://dbpedia.org/resource/Munster_(disambiguation)		0					
Appletiser		0				0					
geraspte jong belegen 30+ kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999998537	1212		http://dbpedia.org/resource/Cheese	
abrikozen op appelsap		0			http://nl.dbpedia.org/resource/Abrikoos	1	0.9999989595	116	Prunus armeniaca	http://dbpedia.org/resource/Prunus_armeniaca	
zalm saladefakes naturel		0				0					
grappa	http://nl.dbpedia.org/resource/Grappa	1		http://dbpedia.org/resource/Grappa_(disambiguation)	http://nl.dbpedia.org/resource/Grappa_(drank)	1	0.9584780468	23		http://dbpedia.org/resource/Grappa	
aardappelmix		0				0					
ongezouten pecannoten		0			http://nl.dbpedia.org/resource/Pecannoot	1	0.9999986973	21		http://dbpedia.org/resource/Pecan	
Manchegokaas		0				0					
zoute ketjap		0			http://nl.dbpedia.org/resource/Ketjap	1	0.9999985516	19		http://dbpedia.org/resource/Sweet_soy_sauce	
choco jumborozijnen		0			http://nl.dbpedia.org/resource/Choco_(stripfiguur)	0	0.9938529832	165			
visburgers of -schnitzels		0				0					
kruidenkaas knoflook fijne kruiden		0			http://nl.dbpedia.org/resource/Knoflook	1	0.9999999884	289	Allium sativum	http://dbpedia.org/resource/Garlic	
wijnazijn		0				0					
wok essentials sweet sour		0				0					
boerensoepgroenten		0				0					
kalfsentrecotes		0				0					
aardbeienlimonadesiroop		0				0					
zalmfilet op de huid		0				0					
witte amandelen		0			http://nl.dbpedia.org/resource/Keelamandel	0	0.9625611314	48		http://dbpedia.org/resource/Tonsil	
biefstukjes		0				0					
roomsaus		0				0					
tacoschelp		0				0					
cookie dough ijs		0			http://nl.dbpedia.org/resource/Cookie_(internet)	0	0.9850247412	71		http://dbpedia.org/resource/HTTP_cookie	
gepelde walnoten		0			http://nl.dbpedia.org/resource/Juglans	1	0.9992067561	61		http://dbpedia.org/resource/Juglans	
rinse appelstroop		0			http://nl.dbpedia.org/resource/Appelstroop	1	0.9999999998	25		http://dbpedia.org/resource/Apple_butter	
wasabirucola		0				0					
pomodorini mozzarella-saus		0				0					
pastasaus met kruiden		0				0					
kruidenroomkaas		0				0					
AH basis groentesaus gegrilde groenten		0			http://nl.dbpedia.org/resource/Islamitische_kalender	0	0.7998290033	168		http://dbpedia.org/resource/Islamic_calendar	
ambachtelijke makreel		0			http://nl.dbpedia.org/resource/Makreel	1	0.6247337812	73		http://dbpedia.org/resource/Atlantic_mackerel	
forelkaviaar		0				0					
soepballetjes		0				0					
pitabroodjes		0				0					
Vlaamse frites		0			http://nl.dbpedia.org/resource/Vlaanderen	0	0.9977196006	13603		http://dbpedia.org/resource/Flanders	
gemengde kruiden		0				0					
witte mini-marshmallow		0				0					
Tandoori currysaus		0			http://nl.dbpedia.org/resource/Curry_(saus)	1	0.9525453154	20		http://dbpedia.org/resource/Curry_ketchup	
smeerbare roomboter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975874451	412		http://dbpedia.org/resource/Butter	
Japanse wokgroente		0				0					
mayonaise met olijfolie		0			http://nl.dbpedia.org/resource/Mayonaise	1	0.9999991311	115		http://dbpedia.org/resource/Mayonnaise	
zachte parel zilver		0			http://nl.dbpedia.org/resource/Parel	0	0.999999758	410		http://dbpedia.org/resource/Pearl	
minimozzarella		0				0					
manna plofrijst		0			http://nl.dbpedia.org/resource/Manna	0	0.9999980366	44		http://dbpedia.org/resource/Manna	
Mozzarella di Bufala		0			http://nl.dbpedia.org/resource/Mozzarella	1	0.999999817	64		http://dbpedia.org/resource/Mozzarella	
eiersalade		0				0					
tapenade van truffel en champignons		0			http://nl.dbpedia.org/resource/Truffel	1	0.9999989463	61	Tuber	http://dbpedia.org/resource/Truffle	
saladecroutons naturel		0				0					
extra jam kers		0				0					
Turkse yoghurt		0			http://nl.dbpedia.org/resource/Turkije	0	0.9164815896	11072		http://dbpedia.org/resource/Turkey	
honingmosterd sladressing		0				0					
bittere chocolade		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999998697	527		http://dbpedia.org/resource/Chocolate	
saladecroutons knoflook		0			http://nl.dbpedia.org/resource/Knoflook	1	0.99999858	289	Allium sativum	http://dbpedia.org/resource/Garlic	
blanke marsepein		0			http://nl.dbpedia.org/resource/Marsepein	1	0.9999991486	57		http://dbpedia.org/resource/Marzipan	
katjang		0				0					
woksaus knoflook koriander		0			http://nl.dbpedia.org/resource/Knoflook	1	0.999999997	289	Allium sativum	http://dbpedia.org/resource/Garlic	
makreelfilets in zonnebloemolie		0			http://nl.dbpedia.org/resource/Zonnebloemolie	1	0.9999986833	37		http://dbpedia.org/resource/Sunflower_oil	
dressing yogomix		0			http://nl.dbpedia.org/resource/Dressing	1	0.9999986366	17			
ratatouillepakket		0				0					
tutti frutti		0			http://nl.dbpedia.org/resource/Tutti	0	0.9999966061	43		http://dbpedia.org/resource/Tutti	
vegetarische groenteballetjes		0				0					
gegrilde stukjes		0				0					
strooigoed		0				0					
gedroogde Italiaanse keukenkruiden		0			http://nl.dbpedia.org/resource/Italië	0	0.9970984503	42034		http://dbpedia.org/resource/Italy	
stoomgroenten kastanjechampignons		0				0					
appelchips		0				0					
creamy guacamole		0			http://nl.dbpedia.org/resource/Guacamole	1	0.9999988711	20		http://dbpedia.org/resource/Guacamole	
AH basis groentesaus tomaat-wortel		0			http://nl.dbpedia.org/resource/Islamitische_kalender	0	0.7998290033	168		http://dbpedia.org/resource/Islamic_calendar	
ijsbergsla met frisée		0			http://nl.dbpedia.org/resource/IJsbergsla	1	0.9999985931	22			
limonadesiroop sinaasappel		0			http://nl.dbpedia.org/resource/Limonade_(drank)	1	0.9861607421	71		http://dbpedia.org/resource/Lemonade	
stroganoffsaus	http://nl.dbpedia.org/resource/Stroganoffsaus	1		http://dbpedia.org/resource/Beef_Stroganoff		0					
panklare sperziebonen		0			http://nl.dbpedia.org/resource/Sperzieboon	1	0.9999986564	63		http://dbpedia.org/resource/Green_bean	
vis-dillesaus		0				0					
Groninger mosterd		0			http://nl.dbpedia.org/resource/Mosterd	1	0.9991867575	187		http://dbpedia.org/resource/Mustard_(condiment)	
walnoten-		0			http://nl.dbpedia.org/resource/Juglans	1	0.9992067561	61		http://dbpedia.org/resource/Juglans	
rauwkost pittig		0			http://nl.dbpedia.org/resource/Rauwkost	1	0.9999995881	14		http://dbpedia.org/resource/Crudités	
tuinkruiden sladressing		0				0					
wokzalmreepjes peper zout		0			http://nl.dbpedia.org/resource/Peper	1	0.9999998948	383	Piper nigrum	http://dbpedia.org/resource/Black_pepper	
koekjes		0				0					
rode bieten schijven zoetzuur		0				0					
Katjang pedis		0				0					
confetti	http://nl.dbpedia.org/resource/Confetti	0		http://dbpedia.org/resource/Confetti	http://nl.dbpedia.org/resource/Confetti	0	0.9999939591	12		http://dbpedia.org/resource/Confetti	
croutinos walnoot/ kruiden		0			http://nl.dbpedia.org/resource/Juglans	1	0.9989115605	61		http://dbpedia.org/resource/Juglans	
kipfilet à la minute kerrie		0			http://nl.dbpedia.org/resource/Kipfilet	1	0.9999971687	13			
rijkgevulde ongezouten elitehaver		0				0					
sperziebonen gebroken		0			http://nl.dbpedia.org/resource/Sperzieboon	1	0.9999986564	63		http://dbpedia.org/resource/Green_bean	
peer	http://nl.dbpedia.org/resource/Peer	0		http://dbpedia.org/resource/Peer		0					
buffelmozzarella mini		0			http://nl.dbpedia.org/resource/Mini_Cooper	0	0.8696862573	38			
groene olijven met piment		0			http://nl.dbpedia.org/resource/Olijf	1	0.9999999985	328	Olea europaea	http://dbpedia.org/resource/Olive	
Vacherin Mont d'Or		0			http://nl.dbpedia.org/resource/Vacherin_Mont_d'Or	1	1	15			
krokante garnalen		0			http://nl.dbpedia.org/resource/Garnalen	1	0.9999686455	3679	Caridea	http://dbpedia.org/resource/Caridea	
kipfilet Kentucky à la minute		0			http://nl.dbpedia.org/resource/Kipfilet	1	0.9999971687	13			
ananasschijven		0				0					
reepje melkchocolade		0				0					
pepermix sinaasappel citroen-knoflook		0			http://nl.dbpedia.org/resource/Sinaasappel	1	0.9999984811	281	Citrus sinensis	http://dbpedia.org/resource/Citrus_×_sinensis	
Parijse worteltjes		0				0					
ravioli	http://nl.dbpedia.org/resource/Ravioli	1		http://dbpedia.org/resource/Ravioli	http://nl.dbpedia.org/resource/Ravioli	1	0.9999991647	18		http://dbpedia.org/resource/Ravioli	
chocolade mokkaboontjes		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999989287	527		http://dbpedia.org/resource/Chocolate	
sojadrink vanille		0			http://nl.dbpedia.org/resource/Vanille-orchidee	0	0.7464158259	30		http://dbpedia.org/resource/Vanilla_planifolia	
M's crispy		0				0					
minigourmetwrap		0				0					
