Ingredient	DBpedia_link_via_stringmatch	Judgment_stringmatch	Scientific_name_via_stringmatch	dbpedia-en_via_stringmatch	DBpedia_via_spotlight	Judgment_spotlight	spotlight_conf	spotlight_support	Scientific_name_via_spotlight	dbpedia-en_via_spotlight	
geleisuiker speciaal		0				0					
geitenkaas		0				0				http://dbpedia.org/resource/Vaccinium	
chilipeper uit de molen		0			http://nl.dbpedia.org/resource/Chilipeper	1	0.9999992486	117		http://dbpedia.org/resource/Chili_pepper	
rundergehakt		0				0					
wok essentials		0				0					
boerenkool		0			http://nl.dbpedia.org/resource/Boerenkool_(groente)	1	0.9543445919	59	Brassica oleracea var. laciniata	http://dbpedia.org/resource/Kale	
zalmfilets		0				0					
Thaise vissaus		0			http://nl.dbpedia.org/resource/Vissaus	1	0.9999999927	28		http://dbpedia.org/resource/Fish_sauce	
crème fraîche light		0			http://nl.dbpedia.org/resource/Crème_fraîche	1	0.9999998833	20		http://dbpedia.org/resource/Crème_fraîche	
broccocress		0				0					
Parmigiano Reggiano		0				0					
peultjes	http://nl.dbpedia.org/resource/Peultjes	1	Pisum sativum var. saccharatum	http://dbpedia.org/resource/Snow_pea	http://nl.dbpedia.org/resource/Peultjes	1	0.9999987798	17	Pisum sativum var. saccharatum	http://dbpedia.org/resource/Snow_pea	
zongerijpte Taggia-olijven		0				0					
kleurstofstift		0				0					
sherry	http://nl.dbpedia.org/resource/Sherry	1		http://dbpedia.org/resource/Sherry		0					
mousserende witte wijn		0			http://nl.dbpedia.org/resource/Wijn	1	0.9999999352	2351		http://dbpedia.org/resource/Wine	
naanbrood naturel		0				0					
roggebrood	http://nl.dbpedia.org/resource/Roggebrood	1		http://dbpedia.org/resource/Rye_bread	http://nl.dbpedia.org/resource/Roggebrood	1	0.9999773683	46		http://dbpedia.org/resource/Rye_bread	
sladressing caesar		0			http://nl.dbpedia.org/resource/Caesar_(titel)	0	0.9968568208	316		http://dbpedia.org/resource/Caesar_(title)	
artisjokharten		0				0					
norivel		0				0					
zwarte peperkorrels		0				0					
gemalen nootmuskaat		0			http://nl.dbpedia.org/resource/Nootmuskaat	1	0.9999999291	141		http://dbpedia.org/resource/Nutmeg	
schelvisfilet		0				0					
gemalen koriander ketoembar		0			http://nl.dbpedia.org/resource/Koriander	1	1	122	Coriandrum sativum	http://dbpedia.org/resource/Coriander	
kleine zoetzure augurken		0				0					
Griekse feta		0			http://nl.dbpedia.org/resource/Feta	1	0.9999999686	36		http://dbpedia.org/resource/Feta	
maggi aroma		0				0					
marsala	http://nl.dbpedia.org/resource/Marsala	1		http://dbpedia.org/resource/Marsala_(disambiguation)	http://nl.dbpedia.org/resource/Marsala_(Italië)	0	0.946035607	52		http://dbpedia.org/resource/Marsala	
meergranen tortillawrap		0				0					
mango's		0			http://nl.dbpedia.org/resource/Mango_(soort)	1	0.9941731138	170		http://dbpedia.org/resource/Mangifera_indica	
little gem		0				0					
veldsla met bietjes		0			http://nl.dbpedia.org/resource/Veldsla	1	0.999991507	23		http://dbpedia.org/resource/Valerianella_locusta	
gedroogde salie		0			http://nl.dbpedia.org/resource/Echte_salie	1	0.9952452452	17		http://dbpedia.org/resource/Salvia_officinalis	
citroensorbetijs		0				0					
gepelde pistachenootjes		0				0					
salsasaus mild		0				0					
walnotenolie		0				0					
Thousand Islands sladressing		0				0					
paddenstoelenmelange		0				0					
galiameloen	http://nl.dbpedia.org/resource/Galiameloen	1		http://dbpedia.org/resource/Galia_melon		0					
babyspinazie		0				0					
ketjap asin		0			http://nl.dbpedia.org/resource/Ketjap	1	0.9999985516	19		http://dbpedia.org/resource/Sweet_soy_sauce	
geraspte bietjes		0				0					
limoenen		0				0					
gepelde pistachenoten		0				0					
hamreepjes		0				0					
jonge bladsla		0				0					
chiazaad		0				0					
geraspte mierikswortel		0				0					
beschuit	http://nl.dbpedia.org/resource/Beschuit	1		http://dbpedia.org/resource/Zwieback	http://nl.dbpedia.org/resource/Beschuit	1	0.9999989716	47		http://dbpedia.org/resource/Zwieback	
hangop		0				0					
Grana Padano kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9993557291	1212		http://dbpedia.org/resource/Cheese	
rijstazijn	http://nl.dbpedia.org/resource/Rijstazijn	1		http://dbpedia.org/resource/Rice_vinegar		0					
brie	http://nl.dbpedia.org/resource/Brie	1		http://dbpedia.org/resource/Brie_(disambiguation)		0					
warmgerookte zalmstukken		0				0					
zeezoutvlokken		0				0					
Hollandse		0				0					
tilapiafilet		0				0					
sambal manis		0			http://nl.dbpedia.org/resource/Sambal	1	0.9999989584	67		http://dbpedia.org/resource/Sambal	
kipdijfilet		0				0					
spitskool		0				0					
minibolletjes mozzarella		0			http://nl.dbpedia.org/resource/Mozzarella	1	0.999999817	64		http://dbpedia.org/resource/Mozzarella	
laurierblaadje		0				0					
Goudse kaas		0			http://nl.dbpedia.org/resource/Goudse_kaas	1	0.9999999997	51		http://dbpedia.org/resource/Gouda_cheese	
gebraden beenham		0				0					
bosbessen		0			http://nl.dbpedia.org/resource/Bosbes	1	0.9999993316	136	Vaccinium	http://dbpedia.org/resource/Vaccinium	
ravigottesaus		0				0					
lychees		0				0					
moedermelk of opvolgmelk		0			http://nl.dbpedia.org/resource/Moedermelk	1	0.9999925418	137		http://dbpedia.org/resource/Breast_milk	
sriracha		0				0					
vastkokende aardappel		0			http://nl.dbpedia.org/resource/Aardappel	1	0.9999997301	823	Solanum tuberosum	http://dbpedia.org/resource/Potato	
zuivelspread light bieslook		0			http://nl.dbpedia.org/resource/Bieslook	1	0.9999988723	54	Allium schoenoprasum	http://dbpedia.org/resource/Chives	
gerookte makreel		0			http://nl.dbpedia.org/resource/Makreel	1	0.9964549855	73		http://dbpedia.org/resource/Atlantic_mackerel	
zomerfruit		0				0					
lichte sojasaus		0			http://nl.dbpedia.org/resource/Sojasaus	1	0.9755538724	67		http://dbpedia.org/resource/Soy_sauce	
babyboerenkool		0				0					
sugo pastasaus pikant		0				0					
gemberpoeder djahé		0				0					
katjang pedis		0				0					
gemalen pittige kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999949163	1212		http://dbpedia.org/resource/Cheese	
kruiden		0				0					
pappardelle	http://nl.dbpedia.org/resource/Pappardelle	1		http://dbpedia.org/resource/Pappardelle		0					
pittige rucola		0			http://nl.dbpedia.org/resource/Zwaardherik	1	0.9999966165	21			
sjalotten		0				0					
pure chocolade 70%		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
caesardressing		0				0					
sla compleet Italiaans		0			http://nl.dbpedia.org/resource/Sla	1	0.9999989053	150	Lactuca	http://dbpedia.org/resource/Lettuce	
grofgeraspte pittige kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999920665	1212		http://dbpedia.org/resource/Cheese	
ribeyes		0				0					
witte balsamicoazijn		0			http://nl.dbpedia.org/resource/Balsamicoazijn	1	0.9999994843	25		http://dbpedia.org/resource/Balsamic_vinegar	
witte peper		0			http://nl.dbpedia.org/resource/Peper	1	0.9999993806	383	Piper nigrum	http://dbpedia.org/resource/Black_pepper	
sesammix		0				0					
lamskotelet		0				0					
salsa mild		0			http://nl.dbpedia.org/resource/Salsa_(muziekstijl)	0	0.9450643702	113		http://dbpedia.org/resource/Salsa_music	
gordita		0				0					
appelsap	http://nl.dbpedia.org/resource/Appelsap	1		http://dbpedia.org/resource/Apple_juice	http://nl.dbpedia.org/resource/Appelsap	1	0.9999986192	20		http://dbpedia.org/resource/Apple_juice	
1 minuut basmatirijst		0				0					
woksaus sweet sour		0				0					
broodjes		0				0					
sugarsnaps		0				0					
varkensfiletlapjes		0				0					
paaseitjes		0				0					
pompoen	http://nl.dbpedia.org/resource/Pompoen	1		http://dbpedia.org/resource/Pumpkin	http://nl.dbpedia.org/resource/Pompoen	1	0.9999987541	126		http://dbpedia.org/resource/Pumpkin	
groene knoflookolijven		0				0					
knoflookdressing		0				0					
port salut		0			http://nl.dbpedia.org/resource/Porteren	0	0.9805383913	146			
ongezouten pistachenoten		0				0					
Amelander Verse sladressing		0				0					
Italiaanse kruidenmix		0			http://nl.dbpedia.org/resource/Italië	0	0.9993958779	42034		http://dbpedia.org/resource/Italy	
kipkluifjes		0				0					
gerookte spekblokjes		0				0					
pecorino	http://nl.dbpedia.org/resource/Pecorino	1		http://dbpedia.org/resource/Pecorino	http://nl.dbpedia.org/resource/Pecorino	1	0.9999997922	40		http://dbpedia.org/resource/Pecorino	
olijfolie extra vierge met basilicum		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999999978	218		http://dbpedia.org/resource/Olive_oil	
Cheddar Tophat 48+		0			http://nl.dbpedia.org/resource/Cheddar_(kaas)	1	0.6317135505	19		http://dbpedia.org/resource/Cheddar_cheese	
chocolademousse		0				0					
rauwkost Amsterdamse-uimix		0			http://nl.dbpedia.org/resource/Rauwkost	1	0.9999995881	14		http://dbpedia.org/resource/Crudités	
Marsala	http://nl.dbpedia.org/resource/Marsala	1		http://dbpedia.org/resource/Marsala_(disambiguation)	http://nl.dbpedia.org/resource/Marsala_(Italië)	0	0.946035607	52		http://dbpedia.org/resource/Marsala	
vers bladerdeeg		0			http://nl.dbpedia.org/resource/Bladerdeeg	1	0.9999989157	50		http://dbpedia.org/resource/Puff_pastry	
sardinefilets		0				0					
gedroogde dille		0				0					
pasteibakjes		0				0					
wokolie		0				0					
fricandeau	http://nl.dbpedia.org/resource/Fricandeau	1		http://dbpedia.org/resource/Silverside_(beef)		0					
dadels zonder pit		0			http://nl.dbpedia.org/resource/Lont	0	0.9205629988	57		http://dbpedia.org/resource/Slow_match	
gedroogde vijgen		0			http://nl.dbpedia.org/resource/Vijgenboom	1	0.6590810943	67		http://dbpedia.org/resource/Common_fig	
rum	http://nl.dbpedia.org/resource/Rum	1		http://dbpedia.org/resource/Rum_(disambiguation)	http://nl.dbpedia.org/resource/Rum_(drank)	1	0.995760035	234		http://dbpedia.org/resource/Rum	
rode uien		0				0					
Italiaanse mix voor in de sla		0			http://nl.dbpedia.org/resource/Italië	0	0.9987948313	42034		http://dbpedia.org/resource/Italy	
augurkenblokjes		0				0					
ciappe		0				0					
mangosorbetijs		0				0					
Chinees vijfkruidenpoeder		0			http://nl.dbpedia.org/resource/Volksrepubliek_China	0	0.636667345	11705		http://dbpedia.org/resource/China	
lichtbelegen kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9993557291	1212		http://dbpedia.org/resource/Cheese	
zongedroogde tomaten op olie		0			http://nl.dbpedia.org/resource/Tomaat	1	0.9999993468	452	Solanum lycopersicum	http://dbpedia.org/resource/Tomato	
camembert		0			http://nl.dbpedia.org/resource/Camembert_de_Normandie_AOP	1	0.9698034594	32		http://dbpedia.org/resource/Camembert	
puree à la minute		0			http://nl.dbpedia.org/resource/Puree	1	0.999999024	18		http://dbpedia.org/resource/Purée	
knoflookpuree		0				0					
muntblaadjes		0				0					
zout en peper		0			http://nl.dbpedia.org/resource/Peper	1	0.9999998948	383	Piper nigrum	http://dbpedia.org/resource/Black_pepper	
amaretti		0				0					
mais	http://nl.dbpedia.org/resource/Mais	1	Zea	http://dbpedia.org/resource/Maize	http://nl.dbpedia.org/resource/Mais	1	0.9999986494	1279	Zea	http://dbpedia.org/resource/Maize	
chorizo	http://nl.dbpedia.org/resource/Chorizo	1		http://dbpedia.org/resource/Chorizo	http://nl.dbpedia.org/resource/Chorizo	1	0.9999983874	27		http://dbpedia.org/resource/Chorizo	
donker volkorenbrood		0			http://nl.dbpedia.org/resource/Volkorenbrood	1	0.9999986067	26		http://dbpedia.org/resource/Brown_bread	
zoete ui		0			http://nl.dbpedia.org/resource/Ui_(plant)	1	0.9876232845	418	Allium cepa	http://dbpedia.org/resource/Onion	
mosterdzaad		0			http://nl.dbpedia.org/resource/Mosterd	0	0.9999990431	187		http://dbpedia.org/resource/Mustard_(condiment)	
pruimen		0				0					
gegrilde achterham		0				0					
wokmix Italiaans		0			http://nl.dbpedia.org/resource/Italië	0	0.9989766023	42034		http://dbpedia.org/resource/Italy	
witte vermout		0			http://nl.dbpedia.org/resource/Vermout	1	0.9999998929	33		http://dbpedia.org/resource/Vermouth	
gekookte mosselen		0				0					
aioli	http://nl.dbpedia.org/resource/Aioli	1		http://dbpedia.org/resource/Aioli	http://nl.dbpedia.org/resource/Aioli	1	0.9999997314	13		http://dbpedia.org/resource/Aioli	
wortels		0				0					
schenkjus		0				0					
mosselen		0				0					
geraspte Goudse belegen kaas 48+		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999998636	1212		http://dbpedia.org/resource/Cheese	
extra pure chocolade 72%		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
Bleu d'Auvergne		0			http://nl.dbpedia.org/resource/Bleu_d'Auvergne_AOP	1	1	20		http://dbpedia.org/resource/Bleu_d'Auvergne	
tonijn in olie		0			http://nl.dbpedia.org/resource/Tonijn	1	0.9999994929	176		http://dbpedia.org/resource/Thunnus	
cambozola	http://nl.dbpedia.org/resource/Cambozola	1		http://dbpedia.org/resource/Cambozola		0					
appelcompote		0				0					
roerbakolie		0				0					
medium dry sherry		0				0					
bloemtortilla		0				0					
scharrelkip		0				0					
chocoladekogels		0				0					
meergranen stokbrood		0			http://nl.dbpedia.org/resource/Stokbrood	1	0.9999985414	41		http://dbpedia.org/resource/Baguette	
augurk zoetzuur		0			http://nl.dbpedia.org/resource/Augurk	1	0.9999999993	89	Cucumis sativus	http://dbpedia.org/resource/Gherkin	
pomodorini		0				0					
Turkse knoflooksaus		0			http://nl.dbpedia.org/resource/Turkije	0	0.9985141307	11072		http://dbpedia.org/resource/Turkey	
margarine	http://nl.dbpedia.org/resource/Margarine	1		http://dbpedia.org/resource/Margarine	http://nl.dbpedia.org/resource/Margarine	1	0.9999985519	202		http://dbpedia.org/resource/Margarine	
kokosolie	http://nl.dbpedia.org/resource/Kokosolie	1		http://dbpedia.org/resource/Coconut_oil	http://nl.dbpedia.org/resource/Kokosolie	1	0.999998513	41		http://dbpedia.org/resource/Coconut_oil	
bietensap		0				0					
Parmigiano Reggiano flakes		0				0					
frambozenjam		0				0					
Prosciutto di Parma		0			http://nl.dbpedia.org/resource/Alexander_Farnese	0	0.5465803758	706		http://dbpedia.org/resource/Alexander_Farnese,_Duke_of_Parma	
chocoladesticks		0				0					
extra pure chocolade		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
peppadew pepers		0				0					
saus voor asperges		0				0					
tzatzikisalade		0				0					
kidneybonen		0				0					
crispy maiskorrels		0				0					
pandanrijst		0				0					
romatomaten		0				0					
woksaus oyster garlic		0				0					
scholfilet		0				0					
sojabonen		0			http://nl.dbpedia.org/resource/Sojaboon	1	0.9999987451	246	Glycine max	http://dbpedia.org/resource/Soybean	
finesse voor verrijken		0				0					
zoutvlokken		0				0					
bloemkoolrijst		0				0					
rode zalm		0			http://nl.dbpedia.org/resource/Rode_zalm	1	0.9999999999	35		http://dbpedia.org/resource/Sockeye_salmon	
rundersoepballetjes		0				0					
Maldon zeezout		0			http://nl.dbpedia.org/resource/Maldon_(district)	0	0.9118880812	54		http://dbpedia.org/resource/Maldon_District	
guacamole	http://nl.dbpedia.org/resource/Guacamole	1		http://dbpedia.org/resource/Guacamole	http://nl.dbpedia.org/resource/Guacamole	1	0.9999988711	20		http://dbpedia.org/resource/Guacamole	
havermout	http://nl.dbpedia.org/resource/Havermout	1		http://dbpedia.org/resource/Rolled_oats	http://nl.dbpedia.org/resource/Havermout	1	0.9999990848	42		http://dbpedia.org/resource/Rolled_oats	
bronwater		0				0					
advocaat		0			http://nl.dbpedia.org/resource/Advocaat_(beroep)	0	0.9997433367	3908		http://dbpedia.org/resource/Lawyer	
wortel		0			http://nl.dbpedia.org/resource/Wortel_(plant)	1	0.6558980315	830		http://dbpedia.org/resource/Root	
geraspte belegen 30+ kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999996706	1212		http://dbpedia.org/resource/Cheese	
vleesjus		0				0					
Italian flakes		0				0					
gekookte rode biet		0			http://nl.dbpedia.org/resource/Rode_biet	1	1	54		http://dbpedia.org/resource/Beetroot	
zalm		0				0					
penne	http://nl.dbpedia.org/resource/Penne	1		http://dbpedia.org/resource/Penne_(disambiguation)	http://nl.dbpedia.org/resource/Penne_(pasta)	1	0.9768265025	42		http://dbpedia.org/resource/Penne	
aardappelzetmeel		0			http://nl.dbpedia.org/resource/Aardappelmeel	1	0.9999992311	90		http://dbpedia.org/resource/Potato_starch	
koek- en speculaaskruiden		0			http://nl.dbpedia.org/resource/Koek_(lekkernij)	0	0.9909453132	114			
venkelzaad		0				0					
meergranenrijst		0				0					
mini augurk		0			http://nl.dbpedia.org/resource/Mini_Cooper	0	0.8696862573	38			
mandarijn	http://nl.dbpedia.org/resource/Mandarijn	1		http://dbpedia.org/resource/Mandarin	http://nl.dbpedia.org/resource/Mandarijn_(vrucht)	1	0.5871842677	80	Citrus reticulata	http://dbpedia.org/resource/Mandarin_orange	
romainesla		0				0					
jenever	http://nl.dbpedia.org/resource/Jenever	1		http://dbpedia.org/resource/Jenever	http://nl.dbpedia.org/resource/Jenever	1	0.9999987959	303		http://dbpedia.org/resource/Jenever	
garam masala		0			http://nl.dbpedia.org/resource/Garam_masala	1	1	22		http://dbpedia.org/resource/Garam_masala	
vegetarische worstjes		0				0					
olijven zonder pit		0			http://nl.dbpedia.org/resource/Olijf	1	0.9999999465	328	Olea europaea	http://dbpedia.org/resource/Olive	
tomatentapenade		0				0					
schenkstroop		0				0					
ijskoude boter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
curry	http://nl.dbpedia.org/resource/Curry	1		http://dbpedia.org/resource/Curry_(disambiguation)		0					
muesli	http://nl.dbpedia.org/resource/Muesli	1		http://dbpedia.org/resource/Muesli	http://nl.dbpedia.org/resource/Muesli	1	0.9999994732	24		http://dbpedia.org/resource/Muesli	
kastanjechampignons		0				0					
tonijn in olijfolie		0			http://nl.dbpedia.org/resource/Tonijn	1	0.9999999826	176		http://dbpedia.org/resource/Thunnus	
pistolets		0				0					
witte chocoladevlokken		0				0					
rundervinken		0				0					
nori snack		0			http://nl.dbpedia.org/resource/Nori_(zeewier)	1	0.9644105221	27		http://dbpedia.org/resource/Nori	
pastinaak	http://nl.dbpedia.org/resource/Pastinaak	1	Pastinaca sativa subsp. sativa	http://dbpedia.org/resource/Parsnip	http://nl.dbpedia.org/resource/Pastinaak	1	0.9999989568	35	Pastinaca sativa subsp. sativa	http://dbpedia.org/resource/Parsnip	
kipgehakt gekruid		0				0					
kabeljauwhaasje		0				0					
Frankfurters		0				0					
plantaardige margarine		0			http://nl.dbpedia.org/resource/Margarine	1	0.9999999828	202		http://dbpedia.org/resource/Margarine	
griesmeel	http://nl.dbpedia.org/resource/Griesmeel	1		http://dbpedia.org/resource/Semolina	http://nl.dbpedia.org/resource/Griesmeel	1	0.9999985903	23		http://dbpedia.org/resource/Semolina	
ananassap		0				0					
wilde zalm		0				0					
komkommers		0				0					
rocket slamelange		0				0					
Hollandse roerbakmix		0				0					
groentecrisps		0				0					
gekookte bieten		0				0					
rauwkost pittige radijsmix		0			http://nl.dbpedia.org/resource/Rauwkost	1	0.9999995881	14		http://dbpedia.org/resource/Crudités	
vleestomaat		0				0					
pikante paprikapoeder		0			http://nl.dbpedia.org/resource/Paprikapoeder	1	0.9999986264	15		http://dbpedia.org/resource/Paprika	
Zeeuws spek		0			http://nl.dbpedia.org/resource/Spek	1	0.9999998906	100		http://dbpedia.org/resource/Fatback	
truffelmayonaise		0				0					
sint-jakobsschelpen		0			http://nl.dbpedia.org/resource/Jakobsmantel	1	0.8509878608	41		http://dbpedia.org/resource/Pecten_jacobaeus	
gepelde ongezouten pistachenootjes		0				0					
wortelrauwkost		0				0					
chocolade extra puur 72%		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
ijsgarnalen		0				0					
citroengras	http://nl.dbpedia.org/resource/Citroengras	1		http://dbpedia.org/resource/Cymbopogon_citratus	http://nl.dbpedia.org/resource/Citroengras	1	0.9999990215	32		http://dbpedia.org/resource/Cymbopogon_citratus	
puntpaprika		0				0					
tabasco chipotle pepper sauce		0			http://nl.dbpedia.org/resource/Tabasco_(saus)	1	0.9414222564	41		http://dbpedia.org/resource/Tabasco_sauce	
maïskorrels		0				0					
cremaceto classico		0				0					
flinterdun gesneden rauwe ham		0			http://nl.dbpedia.org/resource/Ham_(vlees)	1	0.9937725063	159		http://dbpedia.org/resource/Ham	
aceto balsamico di Modena		0			http://nl.dbpedia.org/resource/Balsamicoazijn	1	0.9999999997	25		http://dbpedia.org/resource/Balsamic_vinegar	
Crema per Tiramisù		0			http://nl.dbpedia.org/resource/Tiramisu	1	0.9525453154	20		http://dbpedia.org/resource/Tiramisu	
bruin stokbrood		0			http://nl.dbpedia.org/resource/Stokbrood	1	0.9999985414	41		http://dbpedia.org/resource/Baguette	
dijonnaise		0				0					
harissa	http://nl.dbpedia.org/resource/Harissa	1		http://dbpedia.org/resource/Harissa_(disambiguation)	http://nl.dbpedia.org/resource/Harissa_(saus)	1	0.9169435515	11		http://dbpedia.org/resource/Harissa	
friszure appel		0			http://nl.dbpedia.org/resource/Appel_(vrucht)	1	0.8972984549	536		http://dbpedia.org/resource/Apple	
groenteballetjes		0				0					
gevogeltefond		0				0					
gebraden kipfilet		0			http://nl.dbpedia.org/resource/Kipfilet	1	0.9999971687	13			
sla compleet Toscane		0			http://nl.dbpedia.org/resource/Sla	1	0.9999998882	150	Lactuca	http://dbpedia.org/resource/Lettuce	
kaneelijs		0				0					
custardpoeder	http://nl.dbpedia.org/resource/Custardpoeder	1		http://dbpedia.org/resource/Bird's_Custard		0					
snoeppaprika		0				0					
oud witbrood		0			http://nl.dbpedia.org/resource/Wittebrood	1	0.662429737	30		http://dbpedia.org/resource/White_bread	
gemengde rode vruchten		0				0					
gemberpoeder		0				0					
ciderazijn		0				0					
roodbaarsfilets		0				0					
gedroogde tomaten op olie		0			http://nl.dbpedia.org/resource/Tomaat	1	0.9999999587	452	Solanum lycopersicum	http://dbpedia.org/resource/Tomato	
gemarineerde varkensfiletlapjes à la minute		0			http://nl.dbpedia.org/resource/Marinade	0	0.999998305	39		http://dbpedia.org/resource/Marination	
Parmigiano Reggiano-poeder		0				0					
laurierblaadjes		0				0					
lamsrack		0				0					
buffelmozzarella		0				0					
krokante muesli		0			http://nl.dbpedia.org/resource/Muesli	1	0.9999999999	24		http://dbpedia.org/resource/Muesli	
Gelderse rookworst		0			http://nl.dbpedia.org/resource/Gelderland	0	0.9467013534	4929		http://dbpedia.org/resource/Gelderland	
notenmelange		0				0					
bouillonpoeder		0				0					
pikante hummus		0			http://nl.dbpedia.org/resource/Hummus	1	0.9999967607	12		http://dbpedia.org/resource/Hummus	
royale rozijnen uit chili		0				0					
rol vers bladerdeeg		0			http://nl.dbpedia.org/resource/Bladerdeeg	1	0.9999989157	50		http://dbpedia.org/resource/Puff_pastry	
pure chocolade 72%		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
tilapia	http://nl.dbpedia.org/resource/Tilapia	1		http://dbpedia.org/resource/Tilapia		0					
pittige mosterd		0			http://nl.dbpedia.org/resource/Mosterd	1	0.9999880874	187		http://dbpedia.org/resource/Mustard_(condiment)	
seabob garnalen		0			http://nl.dbpedia.org/resource/Garnalen	1	0.9999686455	3679	Caridea	http://dbpedia.org/resource/Caridea	
spekreepjes		0				0					
zuivelspread bieslook light		0			http://nl.dbpedia.org/resource/Bieslook	1	0.9999988723	54	Allium schoenoprasum	http://dbpedia.org/resource/Chives	
filetlapjes à la minute		0				0					
soja cuisine		0			http://nl.dbpedia.org/resource/Sojaboon	0	0.9974128741	246	Glycine max	http://dbpedia.org/resource/Soybean	
koksroom		0				0					
mini-mozzarella		0				0					
gemberwortel		0				0					
cassave kroepoek		0			http://nl.dbpedia.org/resource/Cassave	1	0.9999991364	937		http://dbpedia.org/resource/Cassava	
elitehaver		0				0					
gesneden spitskool		0				0					
casinobrood		0			http://nl.dbpedia.org/resource/Casinobrood	1	0.9999996076	15			
Indiase currysaus		0			http://nl.dbpedia.org/resource/Curry_(saus)	1	0.9525453154	20		http://dbpedia.org/resource/Curry_ketchup	
volle kwark		0			http://nl.dbpedia.org/resource/Kwark	1	0.9999991722	39		http://dbpedia.org/resource/Quark_(dairy_product)	
pastrami	http://nl.dbpedia.org/resource/Pastrami	1		http://dbpedia.org/resource/Pastrami		0					
eieren M		0				0					
ham	http://nl.dbpedia.org/resource/Ham	1		http://dbpedia.org/resource/Ham_(disambiguation)	http://nl.dbpedia.org/resource/Ham_(vlees)	1	0.9937725063	159		http://dbpedia.org/resource/Ham	
blanke amandelen		0			http://nl.dbpedia.org/resource/Keelamandel	0	0.919600494	48		http://dbpedia.org/resource/Tonsil	
original caesardressing		0				0					
gedroogde pruimen		0				0					
pappadums naturel		0				0					
magere spekreepjes		0				0					
troebel appelsap		0			http://nl.dbpedia.org/resource/Appelsap	1	0.9999986192	20		http://dbpedia.org/resource/Apple_juice	
magere melk		0			http://nl.dbpedia.org/resource/Koemelk	1	0.9983260795	322			
olijfolie extra vierge met knoflook en chilipeper		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999999986	218		http://dbpedia.org/resource/Olive_oil	
Italiaanse mix		0			http://nl.dbpedia.org/resource/Italië	0	0.9987948313	42034		http://dbpedia.org/resource/Italy	
acaciahoning		0				0					
macaroni	http://nl.dbpedia.org/resource/Macaroni	1		http://dbpedia.org/resource/Macaroni		0					
runderbouillon		0				0					
gemengde ijsbergsla		0			http://nl.dbpedia.org/resource/IJsbergsla	1	0.9999985931	22			
entrecote	http://nl.dbpedia.org/resource/Entrecote	1		http://dbpedia.org/resource/Entrecôte		0					
spaghetti all'uovo		0			http://nl.dbpedia.org/resource/Spaghetti	1	0.9999979689	74		http://dbpedia.org/resource/Spaghetti	
bastognekoeken		0				0					
pekelvlees		0				0					
witte pitloze druiven		0				0					
biefstuk	http://nl.dbpedia.org/resource/Biefstuk	1		http://dbpedia.org/resource/Steak	http://nl.dbpedia.org/resource/Biefstuk	1	0.9999991133	68		http://dbpedia.org/resource/Steak	
vermicelli	http://nl.dbpedia.org/resource/Vermicelli	1		http://dbpedia.org/resource/Vermicelli		0					
taleggio	http://nl.dbpedia.org/resource/Taleggio	1		http://dbpedia.org/resource/Taleggio	http://nl.dbpedia.org/resource/Taleggio_(gemeente)	0	0.935494488	17		http://dbpedia.org/resource/Taleggio,_Lombardy	
ijs		0				0					
mini frites		0			http://nl.dbpedia.org/resource/Mini_Cooper	0	0.8696862573	38			
Parmigiano Reggiano 32+		0				0					
pan tostado		0				0					
appelciderazijn		0				0					
slasaus met yoghurt		0			http://nl.dbpedia.org/resource/Dressing	1	0.9999996147	17			
volkoren soepstengels		0				0					
geitenkaas 50+		0			http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999995161	33		http://dbpedia.org/resource/Goat_cheese	
aardappelmeel	http://nl.dbpedia.org/resource/Aardappelmeel	1		http://dbpedia.org/resource/Potato_starch	http://nl.dbpedia.org/resource/Aardappelmeel	1	0.9707015205	90		http://dbpedia.org/resource/Potato_starch	
woksaus ginger garlic		0				0					
haringen		0			http://nl.dbpedia.org/resource/Haringen_(familie)	1	0.7846415441	289	Clupeidae	http://dbpedia.org/resource/Clupeidae	
kropje babyromainesla		0				0					
Italiaanse		0			http://nl.dbpedia.org/resource/Italië	0	0.9993958779	42034		http://dbpedia.org/resource/Italy	
kerriesaus		0				0					
